8345	175	24	9	74	Accepted	Yes
8075	423	26	10	95	InProgress	Maybe
8223	332	19	2	46	InProgress	Maybe
8332	273	19	5	88	Rejected	No
8192	173	21	9	85	InProgress	Maybe
8400	216	20	3	56	InProgress	Maybe
8221	254	19	4	82	Rejected	No
8130	242	20	9	85	Rejected	No
8046	393	24	3	46	Rejected	No
8374	278	20	9	82	InProgress	Maybe
8206	251	21	1	86	Accepted	Yes
8381	316	25	7	68	Rejected	No
8083	354	22	4	57	Accepted	Yes
8058	236	24	8	80	Accepted	Yes
8280	297	25	9	66	Accepted	Yes
8297	291	18	3	94	Rejected	No
8263	502	27	1	85	InProgress	Maybe
8391	310	15	2	71	Rejected	No
8156	387	11	1	84	Accepted	Yes
8308	146	20	2	50	Rejected	No
8180	293	27	9	60	InProgress	Maybe
8065	326	27	5	55	InProgress	Maybe
8192	515	16	4	44	InProgress	Maybe
8400	207	19	5	88	InProgress	Maybe
8044	432	16	8	80	Accepted	Yes
8098	211	15	6	93	InProgress	Maybe
8008	206	16	9	64	Accepted	Yes
8075	346	21	9	58	Accepted	Yes
8158	512	26	7	85	Accepted	Yes
8303	500	15	6	80	InProgress	Maybe
8272	504	12	3	64	InProgress	Maybe
8271	373	27	9	46	Accepted	Yes
8069	475	22	1	91	InProgress	Maybe
8199	426	27	3	90	Rejected	No
8371	510	24	6	50	Accepted	Yes
8359	501	13	9	94	InProgress	Maybe
8173	162	12	6	59	Accepted	Yes
8330	371	13	7	50	InProgress	Maybe
8308	359	20	5	74	InProgress	Maybe
8034	152	25	1	87	Accepted	Yes
8055	492	22	2	49	InProgress	Maybe
8406	463	24	7	52	Rejected	No
8238	261	23	10	53	Accepted	Yes
8225	116	21	9	88	Rejected	No
8339	204	12	8	98	InProgress	Maybe
8147	490	16	7	51	InProgress	Maybe
8154	368	27	1	97	Accepted	Yes
8307	130	16	6	55	Rejected	No
8324	318	18	1	66	Rejected	No
8136	396	19	9	95	InProgress	Maybe
8368	516	13	6	54	Rejected	No
8389	272	18	1	81	Accepted	Yes
8179	133	13	6	93	Rejected	No
8104	439	17	4	68	InProgress	Maybe
8162	367	24	4	60	Rejected	No
8195	166	15	4	51	InProgress	Maybe
8143	325	27	5	52	Accepted	Yes
8364	241	19	6	70	Accepted	Yes
8374	518	11	2	91	Rejected	No
8019	426	20	10	65	Accepted	Yes
8256	195	15	10	74	Accepted	Yes
8072	141	16	5	52	InProgress	Maybe
8409	200	14	2	44	Accepted	Yes
8146	278	17	3	69	Rejected	No
8294	433	23	3	71	InProgress	Maybe
8022	511	19	1	72	Accepted	Yes
8081	441	13	6	44	Rejected	No
8416	395	20	3	54	Accepted	Yes
8337	313	21	6	92	Rejected	No
8394	224	25	9	75	Accepted	Yes
8187	235	19	5	61	Accepted	Yes
8317	271	20	4	57	Accepted	Yes
8215	513	17	6	84	InProgress	Maybe
8022	480	27	6	45	InProgress	Maybe
8400	310	24	8	47	Rejected	No
8170	334	15	2	96	Rejected	No
8038	257	21	1	62	InProgress	Maybe
8013	233	13	1	59	Rejected	No
8248	300	23	7	83	Accepted	Yes
8122	471	16	2	77	InProgress	Maybe
8103	317	22	3	55	Accepted	Yes
8052	481	20	7	64	Rejected	No
8039	405	26	2	49	Accepted	Yes
8136	395	23	1	60	Accepted	Yes
8385	144	12	10	91	InProgress	Maybe
8341	172	24	1	63	Rejected	No
8239	123	17	7	59	Rejected	No
8019	246	17	3	93	InProgress	Maybe
8193	497	27	1	83	InProgress	Maybe
8007	143	20	1	75	Accepted	Yes
8149	293	24	9	82	InProgress	Maybe
8060	183	21	9	88	Rejected	No
8297	141	11	1	50	Rejected	No
8202	374	11	2	91	Rejected	No
8358	198	26	9	73	Rejected	No
8326	421	20	6	44	InProgress	Maybe
8335	356	17	8	66	Accepted	Yes
8142	380	25	7	94	InProgress	Maybe
8325	161	25	3	79	Rejected	No
8069	154	27	6	56	Accepted	Yes
8169	491	16	6	74	Rejected	No
8311	176	18	2	78	Accepted	Yes
8224	409	21	8	79	InProgress	Maybe
8318	280	18	2	88	Rejected	No
8293	156	12	10	89	InProgress	Maybe
8070	247	20	10	72	Accepted	Yes
8395	466	21	3	47	InProgress	Maybe
8371	207	27	4	80	Accepted	Yes
8119	286	14	5	67	InProgress	Maybe
8347	403	18	2	82	Rejected	No
8069	531	13	5	80	Rejected	No
8158	191	15	7	77	InProgress	Maybe
8058	467	17	8	68	Accepted	Yes
8039	225	13	5	76	InProgress	Maybe
8067	204	27	8	56	Rejected	No
8110	338	18	2	93	Accepted	Yes
8236	357	20	10	86	Accepted	Yes
8174	381	20	1	82	Accepted	Yes
8127	206	23	7	72	InProgress	Maybe
8279	426	24	10	75	Accepted	Yes
8076	166	22	2	87	InProgress	Maybe
8151	310	17	1	74	Rejected	No
8135	292	14	5	70	Rejected	No
8055	407	23	4	97	Rejected	No
8306	440	21	4	90	Rejected	No
8161	180	20	4	65	InProgress	Maybe
8396	307	22	5	76	Accepted	Yes
8021	481	15	5	87	InProgress	Maybe
8247	182	26	6	80	Accepted	Yes
8231	322	15	2	97	InProgress	Maybe
8101	231	27	5	83	InProgress	Maybe
8305	134	11	8	44	Accepted	Yes
8257	218	25	10	49	Rejected	No
8157	274	12	10	65	Accepted	Yes
8051	153	11	1	82	Accepted	Yes
8406	434	22	3	96	InProgress	Maybe
8045	363	24	5	59	InProgress	Maybe
8117	157	27	4	93	Accepted	Yes
8325	513	19	10	68	Rejected	No
8147	259	19	2	81	InProgress	Maybe
8093	380	20	6	96	Rejected	No
8131	439	16	2	54	Accepted	Yes
8100	134	15	7	75	InProgress	Maybe
8194	454	22	10	79	Rejected	No
8227	235	11	2	47	Accepted	Yes
8145	298	19	1	84	InProgress	Maybe
8310	153	21	10	51	Rejected	No
8171	489	27	10	84	Rejected	No
8347	277	19	7	64	Rejected	No
8020	222	13	4	57	Accepted	Yes
8265	337	15	3	74	Accepted	Yes
8394	325	12	1	78	Accepted	Yes
