419,1,13,766
503,3,50,960
395,2,71,715
292,1,38,874
408,1,11,852
204,2,24,656
401,1,15,515
207,3,40,793
481,3,63,997
274,2,76,677
502,3,27,916
148,1,50,879
178,2,36,577
276,2,50,549
393,3,68,633
434,3,31,823
191,3,64,974
260,1,48,703
452,1,51,886
526,2,53,537
509,3,58,654
328,2,64,823
192,1,50,912
180,2,75,708
499,3,58,658
490,2,50,663
438,1,44,994
170,3,31,944
289,2,13,745
197,2,41,583
186,1,79,781
265,1,63,762
300,3,53,946
286,2,15,559
122,1,39,645
138,2,29,679
400,3,42,780
382,1,29,908
401,2,34,809
477,2,53,642
141,3,50,872
399,2,79,991
467,2,56,522
290,1,65,557
319,2,32,734
448,2,32,631
279,1,42,506
311,1,50,664
134,1,78,950
204,2,50,505
210,3,38,946
495,2,46,507
299,1,11,521
479,3,38,754
254,2,78,752
241,2,78,748
502,2,43,621
464,3,74,567
430,1,19,866
281,3,62,580
277,2,78,507
114,3,71,982
485,3,70,844
148,2,58,983
128,3,11,842
318,2,70,661
387,1,24,974
253,1,69,575
165,2,63,667
209,3,48,883
530,1,19,677
379,1,57,816
257,1,20,793
256,2,80,510
199,3,68,942
265,2,66,795
230,1,49,844
397,2,76,674
393,1,75,542
387,1,61,875
307,2,54,707
156,1,21,930
258,2,18,786
211,2,26,926
335,1,70,649
123,1,64,635
416,2,57,553
421,2,50,906
520,1,22,829
365,2,68,795
325,2,40,856
512,2,44,541
528,1,36,982
201,2,52,637
426,2,53,699
374,2,13,844
509,2,49,999
372,3,22,642
425,1,17,950
170,2,16,733
491,2,30,674
272,2,71,811
260,1,52,519
424,2,60,998
435,1,75,857
517,1,77,891
152,3,27,550
408,3,34,861
344,3,52,760
149,1,17,829
386,3,13,906
514,1,56,877
187,2,34,680
450,3,15,692
189,1,70,687
414,1,32,939
300,3,72,871
433,2,35,814
111,2,22,529
357,1,41,625
346,2,53,835
217,1,76,902
146,3,31,933
352,1,74,635
423,2,25,757
280,2,78,879
518,1,49,888
394,2,40,589
317,1,37,865
185,2,49,680
292,3,66,511
256,3,34,901
485,2,33,930
332,3,47,785
359,3,71,988
323,2,34,515
339,2,36,693
238,2,37,711
440,1,40,533
307,3,64,728
360,2,18,933
273,3,13,728
467,2,66,641
268,2,78,860
253,1,79,958
332,3,71,553
204,1,19,868
362,1,22,525
515,2,26,740
287,2,45,750
279,2,42,895
362,1,32,737
462,3,21,971
320,2,76,614
208,2,25,628
437,2,49,624
506,2,17,769
510,3,44,771
351,3,58,579
439,2,62,979
480,2,36,796
301,1,71,746
442,1,69,780
449,3,35,909
521,3,16,533
169,1,26,755
358,2,11,984
252,2,53,834
531,1,77,961
231,3,36,969
419,1,14,891
490,2,13,572
509,2,74,907
197,2,65,993
137,3,42,666
218,3,12,780
306,1,60,788
